albumtitle,albumid,musicbrainzlink,year
Δοξάστε με,6eab09da-dbc9-4c00-ad87-711e450e6036,https://musicbrainz.org/release/6eab09da-dbc9-4c00-ad87-711e450e6036,1979
Πατάτες,280b0e15-57f5-4f4e-a51c-982fdf54ea8e,https://musicbrainz.org/release/280b0e15-57f5-4f4e-a51c-982fdf54ea8e,1981
Μαλακά Πιο Μαλακά,5ba64389-a81c-4a20-b65a-983182cecbd5,https://musicbrainz.org/release/5ba64389-a81c-4a20-b65a-983182cecbd5,1984
Έθνος Ανάδελφον,3eb13c08-c7a9-4a76-baf8-db71323b470e,https://musicbrainz.org/release/3eb13c08-c7a9-4a76-baf8-db71323b470e,1985
Natin - Fatin,82f1fb24-ed45-4e22-8a31-ab2994333e1b,https://musicbrainz.org/release/82f1fb24-ed45-4e22-8a31-ab2994333e1b,1987
Τίποτα,55ea1ede-7f67-4423-9880-518f45007994,https://musicbrainz.org/release/55ea1ede-7f67-4423-9880-518f45007994,1987
Ραντεβού Με Την... Εισαγγελία,922e8853-4b24-40fa-b515-f44ea8b1dfd6,https://musicbrainz.org/release/922e8853-4b24-40fa-b515-f44ea8b1dfd6,1989
Αποκάλυψις,56e3b829-c680-4b02-b030-657ee62a5c36,https://musicbrainz.org/release/56e3b829-c680-4b02-b030-657ee62a5c36,1990
Γρανίτα Από Τζατζίκι,808f9dc2-24e4-44b7-b9f0-43c544bb8392,https://musicbrainz.org/release/808f9dc2-24e4-44b7-b9f0-43c544bb8392,1992
Για δέσιμο...,cba07fda-9039-4366-ad4b-9995d49c5d6d,https://musicbrainz.org/release/cba07fda-9039-4366-ad4b-9995d49c5d6d,1996
The X Harry Klynn Files Ανάποδα,9d8c178-ad38-44c5-b4c7-64ab9a2b426a,https://musicbrainz.org/artist/79d8c178-ad38-44c5-b4c7-64ab9a2b426a,1997
Κλασσικά Ηχογραφημένα,d4bcb9bf-6940-4407-9f52-dd2a81208655,https://musicbrainz.org/release/d4bcb9bf-6940-4407-9f52-dd2a81208655,2002
Τα καλυτερότερα έργα,c82961ba-c4a3-4596-be37-fa31ddf9470a,https://musicbrainz.org/release/c82961ba-c4a3-4596-be37-fa31ddf9470a,2002
